wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 6449464 167704   1920 151236 46524 62760 46524 62760 2840 3531  1  2 92  5  0
 0  1 6453816 175264   1912 151280 38012 41692 38364 41692 2316 3020  0  1 94  5  0
 1  1 6446904 158160   1904 150900 47832 43008 47832 43008 2790 3744  1  1 95  3  0
 0  1 6468408 178068   1884 150096 38072 59392 38072 59392 2450 2982  1  2 93  4  0
 0  3 6443320 160152   1816 149500 58172 33248 58768 33248 3365 4425  1  2 92  6  0
 0  1 6474552 182076   1800 149124 31516 63016 31524 63016 2082 2510  0  2 89  9  0
 1  0 6457144 166012   1792 148692 49020 30720 49020 30720 2781 3756  1  1 94  4  0
 0  2 6478224 182644   1692 146536 45664 72228 45724 72228 2685 3430  1  2 93  5  0
 0  1 6488368 191432   1680 146468 27372 42472 27372 42472 1796 2181  1  1 94  4  0
 0  3 6531128 223436   1656 144744 42736 85208 42808 85208 2937 3384  0  2 88  9  0
 0  2 6475324 167224   1656 145620 57372  820 58108   820 2966 4223  1  1 96  3  0
 0  2 6469948 153624   1656 155500 5176    0 15008     0 1065  944  0  0 95  5  0
 0  2 6492216 171072   1484 148540 46460 68004 47836 68004 3289 3763  1  2 91  6  0
 0  1 6490452 177560   1484 148296 47556 44636 47556 44636 2752 3642  1  2 95  3  0
 0  2 6498616 170504   1484 148028 52100 59836 52100 59836 2893 3886  0  2 94  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 6505132 177308   3288 148640 25944 32324 28540 32324 2310 2639  0  1 93  6  0
 1  0 6487508 153620   3288 148664 52980 34816 52980 34816 2842 3905  1  2 94  3  0
 1  1 6502712 163448   3292 148144 32432 49896 32432 49908 1900 2524  1  1 86 13  0
 1  0 6495032 158376   3292 148052 51120 42264 51120 42264 2971 3933  1  2 94  4  0
 0  2 6529592 179576   3292 147636 39472 73436 39472 73436 2391 3033  0  2 92  6  0
 0  1 6526776 178576   3560 148072 35208 33060 36204 33060 2437 2897  1  1 93  6  0
 0  1 6516536 162196   3560 147808 48836 38912 48836 38912 2644 3649  1  1 95  3  0
 1  0 6533944 176308   3560 147120 48356 67584 48356 67584 2850 3719  1  2 93  5  0
 0  1 6528568 166480   3560 147348 40480 34816 41008 34816 2623 3238  0  1 92  6  0
 0  1 6445368 160700   3560 147104 83164    0 83164     0 4091 5969  1  2 95  3  0
 0  1 6445112 171284   3560 146480 53876 55300 54192 55300 3295 4107  1  2 92  5  0
 0  1 6431544 155904   3560 146536 61244 47104 61244 47104 3412 4572  1  2 93  4  0
 2  0 6421048 151620   3560 146436 45652 34816 45652 34816 2815 3474  1  2 94  4  0
 0  1 6437944 158676   3560 146360 42600 65536 42600 65544 2740 3244  0  2 94  4  0
 0  1 6430008 153384   3560 146476 42972 36864 42972 36864 2765 3384  1  2 95  3  0
 0  1 6453816 155548   3560 146268 37772 61440 37836 61440 2734 3068  0  2 93  5  0
 0  1 6412600 153336   3556 146136 60004 20480 60004 20480 3179 4382  1  1 95  3  0
 0  1 6423864 158156   3556 145868 41708 53248 41708 53248 2593 3176  1  2 94  4  0
 1  0 6420736 154264   3556 145676 44692 40960 44692 40960 2755 3424  1  2 94  4  0
 0  2 6432824 156532   3560 145524 48408 60988 48408 60992 2817 3635  1  2 92  6  0
 0  2 6435384 153484   3560 145620 51400 53920 51400 53920 3218 3884  1  2 93  4  0
 0  1 6425912 153956   3560 145632 40336 30500 40336 30500 2440 3133  1  1 95  3  0
 0  1 6433336 153712   3560 145444 52372 59392 52372 59392 3188 3958  0  2 94  3  0
 0  1 6436152 154232   3524 145384 42816 45056 42816 45056 2668 3293  1  2 95  3  0
 0  1 6437944 155240   3476 145356 43616 45056 43616 45056 2819 3433  1  2 95  3  0
 0  1 6446904 152444   3440 145464 40280 49152 40280 49152 2764 3185  1  2 94  3  0
 0  1 6455864 153876   3432 145232 38480 47104 38480 47104 2547 3044  1  2 95  3  0
 0  2 6463032 155892   3432 145688 7648 14336  8244 14336 1645 1237  0  1 91  8  0
 0  2 6468920 159096   3392 146220 6268 12288  6596 12288 1234  935  1  1 93  6  0
 0  1 6513976 201840   2976 144968 26256 71680 26800 71680 2182 2230  0  2 91  7  0
 0  1 6478904 182640   2924 144956 60788 26624 60792 26624 3542 4887  1  1 95  3  0
 0  1 6456632 157960   2912 144868 59492 36864 59492 36864 3346 4507  1  2 94  3  0
 0  1 6449720 153424   2912 144868 43796 36864 43796 36864 2790 3421  1  2 94  3  0
 0  1 6462520 154432   2912 144868 41084 53248 41084 53248 2656 3256  0  2 95  3  0
 1  0 6461240 150400   2912 144964 46612 47104 46612 47104 2909 3613  1  2 94  3  0
 0  1 6470968 150392   2880 144900 48160 57344 48160 57344 3126 3622  1  2 94  3  0
 0  1 6479416 152920   2864 145124 45148 53248 45368 53248 2820 3462  0  2 93  4  0
 0  1 6474296 152920   2860 145104 51908 47104 51908 47104 3148 3978  1  2 94  4  0
 1  1 6485304 155692   2852 144916 44308 55296 44308 55296 2850 3453  1  2 94  4  0
 0  1 6475064 151872   2852 144928 47368 36864 47368 36864 2844 3631  1  2 94  4  0
 0  1 6473784 151848   2844 144912 46684 47104 46684 47104 3054 3655  0  2 94  4  0
 0  1 6467384 148084   2840 144876 45440 40960 45440 40960 2863 3502  1  2 94  3  0
 0  1 6473528 150604   2824 144888 42248 49152 42248 49152 2686 3317  0  2 94  4  0
 0  1 6475160 148840   2816 144848 47976 51200 47976 51200 2947 3616  1  2 94  4  0
 0  1 6476036 148588   2800 144888 47012 47104 47012 47104 2949 3563  0  2 95  3  0
 0  1 6467128 145792   2800 144816 45620 38912 45620 38912 2980 3551  0  2 94  4  0
 1  0 6467128 145792   2796 144828 45300 45056 45300 45056 2800 3523  1  2 94  4  0
 0  1 6468920 144808   2792 144760 41076 43008 41076 43008 2827 3278  1  2 93  4  0
 0  1 6475236 147832   2784 144436 53272 61440 53272 61440 3236 4018  0  2 94  3  0
 0  1 6463288 146316   2780 144972 53100 40960 53100 40960 3034 3942  1  2 95  3  0
 0  1 6462776 142780   2772 144672 46356 47104 46356 47104 3020 3660  1  2 94  3  0
 0  1 6465152 144552   2760 144660 49728 51200 49728 51200 3056 3826  0  2 94  3  0
 0  2 6484356 143576   2756 144372 45620 64500 45620 64500 2914 3540  1  2 93  4  0
 0  1 6470456 144592   2744 144396 42452 33804 42452 33804 2725 3266  1  2 94  4  0
 2  0 6468092 144340   2744 144604 45596 43008 45596 43008 2918 3551  1  2 94  4  0
 0  2 6496824 158908   2716 144220 42708 71484 42708 71484 3113 3414  1  2 93  4  0
 0  3 6495380 163396   2684 150404 6124 4292 12168  4292  979  915  0  0 93  6  0
 0  2 6550072 225428   2220 145152 29104 85148 29872 85148 2277 2491  1  2 91  6  0
 0  1 6534456 220632   1952 145032 41644 25564 41644 25564 2343 3200  0  1 95  3  0
 1  1 6522936 204392   1692 142928 72680 61104 72680 61104 3806 5296  1  2 93  4  0
 0  2 6534100 223040   1816 142968 32656 43440 32884 43440 2148 2582  0  1 93  5  0
 0  1 6483412 170208   3476 144056 51028    0 53752     0 3245 4319  1  1 94  5  0
 0  1 6472156 156348   3476 144260 58880 47116 58880 47116 3266 4362  1  2 93  4  0
 1  2 6510648 189296   3484 143628 31368 69768 31368 69780 2207 2522  0  2 92  6  0
 0  2 6478904 166932   3760 145732 42232 10524 44684 10524 2458 3270  1  1 95  4  0
 0  2 6474808 156316   5016 150292 4004    0  9812     0 1290  978  0  0 91  9  0
 0  3 6491972 163868   5288 159556 3304 20480 12144 20480 1320 1050  0  1 87 13  0
 0  5 6495288 172916   5224 152944 16120 18532 19544 18532 1951 1880  0  1 92  7  0
 0  1 6480696 156284   5384 155440 14508    0 17188     0 1514 1623  0  1 93  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 6481720 164344   5328 155324 54312 57408 54416 57408 3219 4152  0  2 93  4  0
 1  0 6485048 162328   5324 155372 40104 43020 40104 43020 2425 3136  1  1 94  4  0
 0  2 6507320 187632   5332 155640 31168 53592 31920 53648 2715 2960  1  1 90  8  0
 0  1 6485048 167504   5332 155552 64748 43576 64748 43576 3443 4799  1  2 94  3  0
 1  2 6485304 170048   5332 155852 35064 36372 35972 36372 2458 2895  1  1 92  6  0
 0  1 6486728 182208   5332 155324 42220 43452 42220 43452 2440 3195  0  2 95  3  0
 0  1 6459448 164584   5300 154940 54572 29752 54572 29752 2942 3985  1  1 94  4  0
 0  2 6491448 192556   5176 152856 46844 79592 46844 79592 2785 3533  1  2 92  5  0
 1  1 6445624 155764   5100 153256 54892 9160 55012  9208 2865 4076  1  1 93  6  0
 1  1 6475644 195832   4936 152080 45340 74896 45340 74900 2864 3448  1  2 94  3  0
 0  1 6436408 158912   4936 150900 67360 27988 67360 27988 3485 4872  1  1 95  3  0
 0  1 6438200 162692   4296 149500 51940 53788 51940 53788 3014 3781  1  2 94  4  0
 0  1 6431800 169276   3840 148572 50052 43044 50052 43044 2775 3735  1  1 95  3  0
 0  2 6445112 182844   3600 148808 38772 52012 39184 52012 2689 3228  1  1 93  5  0
 0  2 6409616 157896   3424 148684 70208 34144 70208 34144 3541 5057  1  2 94  4  0
 0  2 6424376 176260   3172 148444 19064 33996 19064 34696 1521 1612  0  1 92  7  0
 0  2 6471992 196924   2524 147436 26496 73876 26496 74020 1936 2235  0  2 92  6  0
 0  1 6435812 158108   2384 147328 61428 25052 61428 25052 3010 4472  1  1 94  4  0
 0  1 6448952 161472   2228 146288 65328 78124 65328 78124 3866 5109  1  2 94  3  0
 1  1 6433848 154692   2204 145976 51520 36516 51520 36516 3156 3909  1  2 94  4  0
 0  1 6460472 179892   2096 145200 38472 67024 38472 67024 2378 2947  0  2 94  4  0
 0  2 6446136 161232   3436 147312 14924    0 18396    48 1160 1473  0  0 89 10  0
 0  4 6490680 191432   4200 150000 13580 59492 18060 59492 2070 1655  0  1 87 11  0
 0  2 6466360 169436   4292 152200 25272  664 27128   664 2366 2394  0  1 90  9  0
 0  1 6478976 172436   4404 152824 29132 41304 30092 41304 2151 2418  0  1 93  5  0
 1  1 6552632 247816   4000 149084 23488 97328 23488 97328 1836 1958  0  2 91  7  0
 0  1 6518072 209772   4072 150556 47000 11536 48384 11536 2957 3766  0  1 91  8  0
 1  1 6494520 180604   4072 150024 59468 36960 59468 36960 3202 4530  1  2 94  3  0
 0  1 6470712 179628   4216 150412 45224 21452 45880 21508 3032 3915  1  1 92  7  0
 0  1 6428216 152428   4216 149564 78752 35244 78752 35244 4447 5711  1  2 93  4  0
 0  2 6486028 204056   4216 148828 2512 60180  2512 60880  646  542  0  1 91  9  0
 0  2 6508856 210068   4208 147056 53744 76836 53744 76960 3078 4038  1  2 92  5  0
 0  1 6465592 175104   4188 146652 45196 1464 45476  1464 2369 3365  0  1 90  8  0
 0  4 6524472 251192   4148 143036 26716 85644 26840 85644 2046 2186  0  2 86 12  0
 0  1 6475064 201152   4944 144296 47884    0 49920     0 3007 4098  1  1 93  6  0
 0  2 6454644 168644   4920 143928 61600 42556 61600 42556 3409 4649  1  2 93  5  0
 0  2 6451256 166628   4796 143896 42120 38604 42120 38644 2224 3128  0  1 94  4  0
 0  1 6443196 168392   4732 144180 33608 24604 33716 24604 2152 2769  0  1 95  4  0
 1  1 6450744 178156   3948 142728 45064 52212 45064 52212 2698 3453  1  2 94  4  0
 0  1 6437440 172612   3948 143072 36708 23264 36884 23264 2587 3025  0  1 92  6  0
 0  1 6450648 182944   3692 143012 46588 61052 46668 61052 2836 3502  1  2 93  5  0
 0  1 6448184 171980   3568 142632 40892 38248 40892 38248 2424 3087  1  1 93  5  0
 0  1 6408248 178296   3044 141624 68900 29148 68900 29148 3741 5038  1  2 94  3  0
 0  1 6396216 162924   2808 141444 44208 33436 44208 33436 2619 3313  0  1 95  4  0
 1  0 6406456 177020   2744 141600 34760 44840 35180 44840 2832 2980  1  1 94  4  0
 0  1 6403384 175516   2744 141172 30504 26092 30504 26092 1999 2595  0  1 96  3  0
 0  2 6404664 169468   2744 140896 25468 25384 25468 25384 1839 2287  0  1 95  3  0
 0  2 6389816 157120   2740 149280 15604  700 23920   700 1413 1599  0  0 95  5  0
 0  1 6396472 159860   2068 150540 12628 19180 20192 19188 1712 1533  0  1 92  7  0
 0  2 6403972 173404   2456 151392 21104 28644 22784 28644 2092 2260  0  1 93  6  0
 0  1 6409008 172144   2604 151296 41748 48012 42068 48012 2840 3311  1  2 94  5  0
 0  1 6407736 177180   2604 150824 51204 49580 51204 49580 2853 3789  0  2 94  4  0
 0  1 6425400 202852   2400 149468 37732 55164 37732 55164 2558 3045  0  2 94  4  0
 0  2 6386232 162784   2408 149432 40032    0 40032    12 2196 3076  1  1 95  4  0
 0  2 6426424 197276   2368 147400 48536 88128 48536 88128 3055 3691  0  2 92  5  0
 1  1 6377272 154500   2368 147864 49360   56 49876    56 2811 3877  0  1 94  4  0
 0  1 6380856 170376   2368 147104 47336 51592 47336 51592 3179 3624  1  2 94  4  0
 0  1 6387768 172140   2312 146444 44708 51472 44708 51472 2626 3397  0  2 95  3  0
 0  1 6366908 165588   2160 145728 55592 34952 55592 34952 3092 4112  1  2 94  3  0
 0  1 6353208 156508   2088 144400 49440 35584 49628 35616 2807 3651  1  1 95  3  0
 0  2 6432392 235792   1916 141684 7324 87232  7720 87232 1557 1216  0  2 92  7  0
 0  1 6411400 213136   1964 142024 22360    0 22636     0 1878 2257  0  1 95  4  0
 0  1 6365064 167144   1964 141916 46092    0 46092     0 2359 3493  1  1 96  3  0
 1  2 6369836 162388   1908 141160 54976 59336 54976 59336 3520 4168  1  2 94  4  0
 1  0 6358840 166168   1808 141276 41996 31772 42328 31772 2652 3227  0  1 95  4  0
 0  1 6373432 177556   1812 140640 33784 48084 33784 48088 2423 2627  0  1 92  6  0
 0  1 6351928 156388   1748 140384 53872 32092 53996 32092 3087 4046  1  1 95  4  0
 1  0 6348344 159160   1684 139940 52792 48720 52792 48720 3113 3863  0  2 95  4  0
 1  1 6352184 163160   1608 139740 46116 49756 46116 49756 3044 3381  0  1 93  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 6346808 157616   1608 139604 7012    0  7012     0  946 1039  0  0 97  3  0
 0  1 6330936 154600   1600 139944 39672 22748 39672 22748 2660 3155  0  1 95  3  0
 0  1 6330584 156120   1592 139604 49588 49484 49628 49484 3414 3790  1  2 92  5  0
 0  1 6323512 147296   1588 139536 32516 24512 32516 24512 2355 2643  0  1 96  3  0
 1  0 6325048 147012   1588 139544 4200 4236  4200  4236  783  907  0  0 97  2  0
 0  1 6327352 147516   1588 139568 3652 4168  3652  4168  748  809  0  0 97  2  0
 0  1 6327608 147784   1588 139392 35180 34556 35180 34556 2381 2746  0  1 96  3  0
 0  1 6339128 153816   1588 139372 38792 50224 38792 50224 3146 3102  0  2 94  4  0
 0  1 6324024 150540   1588 139456 39200 23616 39200 23616 2751 3222  0  1 94  4  0
 1  1 6325816 151564   1588 139280 49848 51072 49848 51072 3756 3801  0  2 94  4  0
 0  1 6325816 149800   1584 139416 49976 50104 49976 50104 3627 3739  1  2 94  3  0
 0  1 6322108 151564   1580 139224 28304 23660 28304 23660 2177 2397  0  1 95  4  0
 0  1 6324792 152320   1580 139236 2608 4556  2640  4556  880  867  0  0 97  3  0
 0  2 6323000 149292   1580 139304 3164    0  3228     0  921  908  0  0 96  3  0
 0  1 6330936 153324   1576 139408 11244 18040 11360 18040 1566 1401  0  1 96  4  0
 0  2 6358072 172696   1560 139176 34520 61280 34520 61280 2727 2818  0  2 93  5  0
 1  0 6349880 176036   1560 138896 40072 31432 40072 31432 2460 3087  1  1 94  4  0
 0  2 6331960 152584   2876 143148 18028    0 23580     0 1780 1899  0  0 93  6  0
 0  4 6363192 180044   3808 145412 2240 33232  6628 33232 1367  883  0  1 85 13  0
 1  0 6350392 163016   4192 147492 28188 15380 36680 15380 2535 2756  1  1 91  7  0
