wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 6363784 157936   3524 153716 57012 36524 57112 36524 3389 4231  1  2 94  4  0
 0  3 6369428 172072   3184 153756 28060 33560 28304 33648 2068 2415  0  1 89 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 6384020 178640   2876 153872 25544 39848 25944 40344 2885 2175  0  1 89  9  0
 0  1 6352532 162048   2704 153764 43064 11572 43080 11664 3392 3563  0  1 94  4  0
 0  1 6383764 182680   2516 152832 46332 77452 46472 77452 3372 3615  0  2 92  6  0
 1  1 6351508 156432   2516 152472 47036 15096 47036 15096 2937 3739  0  1 94  4  0
 0  2 6356372 154960   2512 152552 34512 39048 35460 39048 2468 2740  0  1 95  4  0
 0  1 6381716 185420   2184 152676 25908 51228 26156 51288 2373 2213  0  1 89  9  0
 0  2 6363284 166652   2036 153556 35400 17012 36504 17480 2931 3273  0  1 91  7  0
 0  2 6373308 166132   1884 152952 41676 51728 41700 51852 3270 3635  0  2 92  6  0
 0  1 6349500 157256   1980 154228 23928  296 25072   296 1999 2139  0  1 92  7  0
 0  3 6375316 166004   1680 153404 38456 64156 38456 64156 2759 3273  0  2 92  6  0
 1  2 6369172 174572   1688 154168 5740   24  6332    88 1593 1480  0  0 92  8  0
 1  2 6384020 177596   1684 153816 59068 73548 59336 73548 4175 4733  1  2 92  5  0
 1  0 6352532 150128   1684 153724 50972 19220 50972 19220 2829 3816  0  1 94  4  0
 0  2 6369684 167668   1680 153584 38068 55556 38332 55556 3421 3375  0  2 92  6  0
 1  0 6361912 163172   1632 153868 39088 31560 39588 31560 3062 3421  0  1 94  4  0
 0  2 6370532 174048   1568 153500 37768 45936 37768 45992 2717 2867  0  1 91  7  0
 0  1 6342804 150320   1512 153072 63032 35396 63032 35396 3684 5092  0  2 95  2  0
 0  1 6364564 174016   1472 152700 13696 35376 13712 36484 1556 1567  0  1 92  7  0
 0  1 6337940 149484   1428 152912 46320 19540 46740 19540 3437 3820  1  1 94  4  0
 0  1 6357140 161628   1156 153376 20548 39764 21196 39764 2427 2417  0  1 93  6  0
 0  2 6358676 164344   1128 152768 49576 51284 49620 51284 3220 4098  0  2 93  4  0
 0  1 6364792 167872   1124 152436 35196 41104 35196 41104 2803 3044  0  2 94  5  0
 0  4 6357368 161384   1132 153636 7420    0  8552    72 1056 1072  0  0 90 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3 6347896 149556   1132 155976 9400    0 11732     0 2103 1741  0  0 85 14  0
 0  3 6359700 157872   1132 161076 5960 17052 11368 17052 1748 2095  0  1 86 13  0
 0  5 6396192 187608    964 157636 6500 40012  9580 40012 1755 2140  0  1 83 15  0
 0  5 6452112 254600   1104 157592 1600 56208  1884 56884 1159 1254  0  1 73 26  0
 0  4 6451088 249696   1776 158496 3712    0  5040    60 1179 1800  0  0 80 19  0
 0  4 6446992 242828   2612 160924 5540    0  8692     0 1735 2093  0  0 79 21  0
 0  3 6440592 232308   2752 163572 7208    0 10104     0 1757 2072  0  0 82 18  0
 0  1 6393232 183152   2752 165500 48048    0 50008     0 3339 4685  1  1 92  6  0
 0  1 6380436 163748   2752 164820 49708 36968 49780 36968 3190 4145  0  2 94  4  0
 0  1 6405268 192924   2732 161192 45616 70436 45632 70436 3086 3609  0  2 93  4  0
 1  1 6379924 172040   2864 160760 60772 35572 61172 35572 3947 4653  0  2 92  6  0
 1  0 6381716 177340   2872 159860 33096 34732 33116 34744 2766 3103  0  1 94  5  0
 0  2 6382996 184460   2872 158732 50888 51972 51012 51972 3919 5429  0  2 93  5  0
 0  1 6362772 166788   2872 157956 54516 34592 54620 34592 3851 4240  0  2 94  4  0
 1  1 6346132 151392   2472 155612 53644 36964 53808 36964 3679 4054  1  2 93  5  0
 0  1 6402452 208620   2176 155036 16472 72952 17196 72952 2182 1875  0  2 87 11  0
 0  2 6369172 167168   1784 151156 78580 45056 78584 45128 4318 6085  1  2 94  4  0
 0  1 6396308 197000   1784 151400 20916 47928 21144 47928 2266 2249  0  1 94  5  0
 1  1 6373524 173824   1584 149528 66332 43400 66448 43400 4131 5557  0  2 93  5  0
 0  2 6369940 171068   1276 148384 45892 42432 45892 42432 3191 4049  0  2 93  5  0
 0  1 6355472 167580   1224 147868 51780 37240 51780 37240 3002 3877  1  2 94  4  0
 1  0 6342360 153436   1184 147444 48256 35424 48256 35424 3523 4188  0  2 95  3  0
 0  2 6370000 179636   1128 146320 43916 70916 43960 70916 3089 3559  0  2 92  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 6354068 164256   1136 146380 32620 16904 32620 16948 2354 3185  0  1 89  9  0
 0  2 6357884 162468   1136 145616 59524 63320 59524 63320 3859 5118  0  2 94  4  0
 0  1 6368148 176416   1136 145596 35544 45700 35620 45700 2464 2838  0  2 95  3  0
 1  1 6355348 165580   1136 145308 45852 32824 45864 32824 2950 3956  0  1 94  5  0
 0  1 6354580 168856   1136 145008 52732 51948 52732 51948 3389 4048  0  2 94  4  0
 0  1 6341224 161912   1136 144840 45580 32216 45656 32216 2939 3631  0  1 94  4  0
 0  1 6364828 176480   1136 144580 51900 75108 51964 75108 3583 4008  0  2 92  6  0
 1  1 6359700 183104   1136 144436 51372 46428 51372 46428 3044 3828  0  2 94  4  0
 0  1 6333844 151572   1120 144248 63788 37976 63788 37976 3580 4540  0  2 95  3  0
 1  0 6336916 163408   1068 144324 66516 69236 66532 69236 3812 4835  1  2 93  4  0
 0  1 6349204 168952   1036 144124 43668 55888 43752 55888 2885 3319  0  2 93  5  0
 0  1 6335380 156604   1032 144156 47972 34184 48116 34184 3601 3721  0  2 92  6  0
 0  2 6354580 167196   1032 144044 43360 62544 43448 62544 3254 3502  0  2 94  4  0
 1  1 6356884 181796   1032 144252 37716 39616 38028 39616 2887 3127  0  2 93  5  0
 0  2 6350484 171456   2256 147316 6012    0 10436     0 1380 1152  0  0 91  9  0
 1  3 6346132 161320   3256 150972 4656    0  9136    16 1356 1031  0  0 88 12  0
 1  4 6359188 170896   3532 151868 6804 19084 12772 19412 1806 1452  0  1 89 10  0
 1  2 6437780 250440   3532 152660 3656 81940  4396 82040 1519 1187  0  2 82 17  0
 0  2 6433428 242376   4068 155404 4452    0  7652     0 1165 1015  0  0 89 11  0
 1  0 6379924 188400   4068 155892 53568    0 54040     0 3126 4399  0  1 94  5  0
 0  3 6434452 236816   3248 149072 47452 102352 47660 102352 3440 3633  0  3 90  7  0
 0  3 6432148 246548   3896 150264 2828   64  4772   132 1135 1008  0  0 89 11  0
 1  0 6423444 236792   4744 153036 8872    0 12152     0 1952 1600  0  0 89 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 6412948 227564   3412 147888 90264 79776 90380 79776 5050 6564  1  3 89  8  0
 0  1 6353300 171620   3416 148388 82204 21936 82520 21936 4141 5845  1  2 92  5  0
 0  2 6430612 252196   3040 143188 25544 103164 25772 103164 2244 2362  0  2 86 12  0
 1  0 6332564 155680   3040 143828 98384    0 99200     0 4694 7022  1  2 93  5  0
 0  2 6360212 178100   3320 145476 9944 37740 12100 37796 1496 1209  0  1 87 12  0
 2  0 6338452 148796   4792 151708 21972    0 29152     0 2446 2308  0  1 91  8  0
 1  3 6402652 214624   4516 152516 7372 71528 10780 71528 2121 1488  0  1 84 15  0
 0  1 6370652 179280   4792 156688 31956    0 35872     0 2585 2937  0  1 89 10  0
 0  2 6398612 199944   3888 150996 64032 92008 64032 92008 4642 4623  0  2 94  4  0
 0  3 6440340 248772   4736 153528 2824 44404  6068 44404 1603 1224  0  1 85 14  0
 0  2 6373012 179472   4744 155084 67504    0 69004   808 3804 5108  0  1 90  8  0
 0  1 6354324 155428   4428 154608 56696 38072 56696 38384 2871 4036  0  1 96  3  0
 0  1 6359504 172848   3632 152096 62152 67120 62160 67124 3525 4734  0  2 94  4  0
 0  1 6337940 150096   3188 151648 78028 56552 78028 56552 4009 5510  1  2 94  4  0
 0  3 6368608 178720   2832 152880 7204 37636  9576 37636 1860 1068  0  1 88 11  0
 0  4 6363232 164624   2832 160704 5432    0 13088     0 1471 1246  0  0 87 12  0
 0  3 6358112 153944   2988 166116 6112    0 10608   112 1550 1279  0  0 84 16  0
 1  1 6372792 160748   2772 170856 22304 37172 27796 37172 2428 2188  0  1 88 11  0
 0  2 6376852 163780   2308 162020 71404 75360 71404 75360 4003 5125  0  2 93  4  0
 0  1 6368660 158024   2316 164108 22812 14596 24768 14596 2287 2453  0  1 90  9  0
 1  0 6366612 160276   2316 163956 26192 23700 26284 24476 2295 2462  0  1 92  7  0
 0  5 6378644 174916   2324 163392 39936 52032 40268 52116 3623 3053  0  2 86 13  0
 0  1 6369428 167956   2308 162952 61076 51744 61712 51744 3834 4601  0  2 91  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 6365332 154372   2268 161776 53384 49736 53424 49736 2966 3893  0  1 93  5  0
