bonito:~/git/frozemm/expms-disk/simple$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 5710336 155668   2560  90184 111652    0 111652     0 4989 8147  1  2 95  2  0
 1  0 5732096 183460   2308  89364 53436 74876 53564 74876 12164 4100  3  2 92  3  0
 1  1 5705216 154220   2016  90744 52528 26304 55432 26304 3759 4404  1  1 92  6  0
 0  1 5743340 191272   2008  90888 25552 63152 25552 63568 1850 2037  0  1 90  9  0
 0  2 5730816 183428   1560  85892 79804 67268 80032 67268 4739 5639  1  2 92  5  0
 1  1 5763328 211904   1560  85768 40392 72632 40508 72632 2285 2945  0  2 93  5  0
 0  1 5703936 166292   1432  83452 99072 39616 99352 39616 9210 6837  2  2 94  2  0
 0  2 5705216 165220   1824  85072 45016 46684 47320 46684 3279 3788  0  2 93  5  0
 1  0 5716736 178868   1632  83004 62544 74044 63564 74044 4227 4590  0  2 92  5  0
 0  1 5697320 164220   1648  82756 71672 52508 71776 52532 3546 4991  0  2 94  4  0
 0  2 5705472 169292   1648  82620 78012 85892 78012 85892 10673 5548  3  2 93  2  0
 1  1 5692928 161480   1648  82500 84124 71592 84124 71592 4151 5864  1  2 94  3  0
 0  3 5750784 209052   1780  79820 33196 90552 35300 90552 2516 2643  0  2 87 11  0
 0  2 5746688 198752   2868  86328 4144   76 11416    76 1459 1378  0  0 90 10  0
 0  2 5734400 179748   3576  92296 12248    0 18984     0 1642 1586  0  0 93  7  0
 0  2 5713920 165384   3696  88996 48604 28104 49564 28536 3147 4073  0  1 91  8  0
 1  2 5709312 153736   4248  94064 4924    0 10816     0 1329 1172  0  0 89 11  0
 0  2 5717504 166768   4264  93120 39164 47404 39304 47928 3043 3439  1  1 94  4  0
 1  0 5715456 165768   4264  92412 52872 50340 52952 50340 4412 5124  1  2 93  5  0
 1  5 5708800 155940   4272  92072 34120 27240 34356 27324 2376 2802  0  1 86 13  0
 0  2 5723812 172012   4532  92368 9800 24660 10536 24660 2362 2195  0  1 87 12  0
 0  2 5712804 160996   4532  92336 12052    0 12056     0 2412 2697  0  1 90 10  0
 0  2 5730560 174604   4440  92260 11492 26580 11824 26580 2155 2432  0  1 89 10  0
 1  0 5719552 167108   4380  91572 36656 24712 36712 24712 2846 3583  1  1 93  5  0
 0  1 5724160 176432   2784  89996 59976 64628 60024 64628 3498 4450  0  2 94  4  0
 0  1 5737844 186260   1996  87604 41212 54776 41220 55620 2271 3104  0  1 85 13  0
 0  3 5792256 239684   1544  82508 40204 94336 40300 94336 3502 2923  3  2 88  7  0
 1  1 5698304 165108   1460  77868 108404 14932 108716 14932 4794 7344  1  2 94  3  0
 0  2 5719040 183968   1464  77772 70452 90772 70564 90772 3800 5138  0  2 92  6  0
 0  3 5725664 178408   2412  78892 35576 42204 39432 42204 2769 3162  0  1 90  8  0
 0  1 5709568 163240   2412  78544 50012 33672 50064 33672 2713 3662  0  1 91  7  0
 0  1 5724672 188008   2420  76952 50572 65556 50572 65608 3290 3724  0  2 91  7  0
 0  1 5786368 252764   2208  74028 43444 104912 43444 104988 3240 3237  0  2 95  3  0
 0  2 5694208 157760   2188  73784 105748 13512 105748 13512 4959 7944  1  2 95  3  0
 0  2 5688320 153412   2360  75692 42976 37188 45064 37188 3412 3711  1  1 92  6  0
 0  1 5697024 168216   1980  75344 50396 58900 50456 58900 3641 4570  0  2 93  5  0
 1  0 5692928 155932   1860  75268 44344 40000 44344 40000 2892 3999  0  1 93  5  0
 0  3 5714944 174068   1868  76988 32560 54540 34460 54540 2686 2745  0  1 92  6  0
